Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
939630341,MNQM5,05/16/2025 08:55:03 -04:00,05/16/2025 09:18:49 -04:00,21440.750000000,21474.000000000,0.74000,-66.500000000,1,Short,05/16/2025 00:00:00 -05:00,00:23:45.9187570
939630348,MNQM5,05/16/2025 09:01:49 -04:00,05/16/2025 09:18:49 -04:00,21437.500000000,21474.000000000,0.74000,-73.000000000,1,Short,05/16/2025 00:00:00 -05:00,00:16:59.7667370
939651799,MNQM5,05/16/2025 09:20:36 -04:00,05/16/2025 09:22:14 -04:00,21461.000000000,21477.000000000,0.74000,-32.000000000,1,Short,05/16/2025 00:00:00 -05:00,00:01:37.7152000
939676944,MNQM5,05/16/2025 09:22:31 -04:00,05/16/2025 09:26:09 -04:00,21477.750000000,21457.000000000,0.74000,-41.500000000,1,Long,05/16/2025 00:00:00 -05:00,00:03:37.4731680
792687151,MNQM5,04/08/2025 12:50:20 -04:00,04/08/2025 12:50:49 -04:00,17780.750000000,17751.000000000,0.74000,59.500000000,1,Short,04/08/2025 00:00:00 -05:00,00:00:28.9005760
939906154,MNQM5,05/16/2025 09:28:07 -04:00,05/16/2025 09:41:05 -04:00,21479.250000000,21420.750000000,0.74000,-117.000000000,1,Long,05/16/2025 00:00:00 -05:00,00:12:58.7032580
939906155,MNQM5,05/16/2025 09:29:25 -04:00,05/16/2025 09:41:05 -04:00,21463.750000000,21420.750000000,0.74000,-86.000000000,1,Long,05/16/2025 00:00:00 -05:00,00:11:40.0535000
939906156,MNQM5,05/16/2025 09:29:42 -04:00,05/16/2025 09:41:05 -04:00,21472.000000000,21420.750000000,0.74000,-102.500000000,1,Long,05/16/2025 00:00:00 -05:00,00:11:23.7132920
939906157,MNQM5,05/16/2025 09:31:14 -04:00,05/16/2025 09:41:05 -04:00,21436.500000000,21420.750000000,0.74000,-31.500000000,1,Long,05/16/2025 00:00:00 -05:00,00:09:51.1175100
939906158,MNQM5,05/16/2025 09:32:22 -04:00,05/16/2025 09:41:05 -04:00,21434.250000000,21420.750000000,0.74000,-27.000000000,1,Long,05/16/2025 00:00:00 -05:00,00:08:43.3828970
939906159,MNQM5,05/16/2025 09:32:23 -04:00,05/16/2025 09:41:05 -04:00,21437.250000000,21420.750000000,0.74000,-33.000000000,1,Long,05/16/2025 00:00:00 -05:00,00:08:42.1302850
933142253,MBTK5,05/14/2025 21:27:41 -04:00,05/14/2025 21:38:22 -04:00,103830.000000000,103525.000000000,2.34000,-30.500000000,1,Long,05/15/2025 00:00:00 -05:00,00:10:41.6048780
933142255,MBTK5,05/14/2025 21:27:41 -04:00,05/14/2025 21:38:22 -04:00,103825.000000000,103525.000000000,2.34000,-30.000000000,1,Long,05/15/2025 00:00:00 -05:00,00:10:40.9280330
775239230,MNQM5,04/03/2025 12:00:47 -04:00,04/03/2025 12:00:48 -04:00,18913.750000000,18912.000000000,7.40000,-35.000000000,10,Long,04/03/2025 00:00:00 -05:00,00:00:00.3675250
933167675,MBTK5,05/14/2025 21:42:43 -04:00,05/14/2025 21:49:38 -04:00,103550.000000000,103510.000000000,2.34000,4.000000000,1,Short,05/15/2025 00:00:00 -05:00,00:06:54.0830380
775254538,MNQM5,04/03/2025 12:01:30 -04:00,04/03/2025 12:03:20 -04:00,18911.500000000,18930.750000000,0.74000,38.500000000,1,Long,04/03/2025 00:00:00 -05:00,00:01:50.0682080
775254539,MNQM5,04/03/2025 12:02:59 -04:00,04/03/2025 12:03:20 -04:00,18917.500000000,18930.750000000,0.74000,26.500000000,1,Long,04/03/2025 00:00:00 -05:00,00:00:21.0867630
775265761,MNQM5,04/03/2025 12:04:04 -04:00,04/03/2025 12:04:49 -04:00,18902.750000000,18893.500000000,0.74000,18.500000000,1,Short,04/03/2025 00:00:00 -05:00,00:00:44.5318750
